2022-09-21 00:15:28 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:28 status half-installed fakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:29 status unpacked fakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:29 status unpacked fakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:29 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:29 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:29 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:29 startup archives unpack
2022-09-21 00:15:29 upgrade linux-libc-dev:amd64 4.4.0-210.242 4.4.0-210.242
2022-09-21 00:15:29 status half-configured linux-libc-dev:amd64 4.4.0-210.242
2022-09-21 00:15:29 status unpacked linux-libc-dev:amd64 4.4.0-210.242
2022-09-21 00:15:29 status half-installed linux-libc-dev:amd64 4.4.0-210.242
2022-09-21 00:15:30 status half-installed linux-libc-dev:amd64 4.4.0-210.242
2022-09-21 00:15:30 status unpacked linux-libc-dev:amd64 4.4.0-210.242
2022-09-21 00:15:30 status unpacked linux-libc-dev:amd64 4.4.0-210.242
2022-09-21 00:15:30 startup archives unpack
2022-09-21 00:15:30 upgrade libmpx0:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:30 status triggers-pending libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:30 status half-configured libmpx0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:30 status unpacked libmpx0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:30 status half-installed libmpx0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:30 status half-installed libmpx0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:30 status unpacked libmpx0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:30 status unpacked libmpx0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:30 trigproc libc-bin:amd64 2.23-0ubuntu11.3 <none>
2022-09-21 00:15:30 status half-configured libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:30 status installed libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:31 startup archives unpack
2022-09-21 00:15:31 upgrade libalgorithm-diff-xs-perl:amd64 0.04-4build1 0.04-4build1
2022-09-21 00:15:31 status half-configured libalgorithm-diff-xs-perl:amd64 0.04-4build1
2022-09-21 00:15:31 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-4build1
2022-09-21 00:15:31 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-4build1
2022-09-21 00:15:31 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:31 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-4build1
2022-09-21 00:15:31 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-4build1
2022-09-21 00:15:31 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-4build1
2022-09-21 00:15:31 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:31 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:32 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:32 startup archives unpack
2022-09-21 00:15:32 upgrade libdpkg-perl:all 1.18.4ubuntu1.7 1.18.4ubuntu1.7
2022-09-21 00:15:32 status half-configured libdpkg-perl:all 1.18.4ubuntu1.7
2022-09-21 00:15:32 status unpacked libdpkg-perl:all 1.18.4ubuntu1.7
2022-09-21 00:15:32 status half-installed libdpkg-perl:all 1.18.4ubuntu1.7
2022-09-21 00:15:32 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:32 status half-installed libdpkg-perl:all 1.18.4ubuntu1.7
2022-09-21 00:15:32 status unpacked libdpkg-perl:all 1.18.4ubuntu1.7
2022-09-21 00:15:32 status unpacked libdpkg-perl:all 1.18.4ubuntu1.7
2022-09-21 00:15:32 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:32 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:33 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:33 startup archives unpack
2022-09-21 00:15:33 upgrade python3-wheel:all 0.29.0-1 0.29.0-1
2022-09-21 00:15:33 status half-configured python3-wheel:all 0.29.0-1
2022-09-21 00:15:34 status unpacked python3-wheel:all 0.29.0-1
2022-09-21 00:15:34 status half-installed python3-wheel:all 0.29.0-1
2022-09-21 00:15:34 status half-installed python3-wheel:all 0.29.0-1
2022-09-21 00:15:34 status unpacked python3-wheel:all 0.29.0-1
2022-09-21 00:15:34 status unpacked python3-wheel:all 0.29.0-1
2022-09-21 00:15:34 startup archives unpack
2022-09-21 00:15:35 upgrade libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:35 status triggers-pending libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:35 status half-configured libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:35 status unpacked libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:35 status half-installed libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:35 status half-installed libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:35 status unpacked libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:35 status unpacked libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:35 trigproc libc-bin:amd64 2.23-0ubuntu11.3 <none>
2022-09-21 00:15:35 status half-configured libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:35 status installed libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:35 startup archives unpack
2022-09-21 00:15:35 upgrade python3-pip:all 8.1.1-2ubuntu0.6 8.1.1-2ubuntu0.6
2022-09-21 00:15:35 status half-configured python3-pip:all 8.1.1-2ubuntu0.6
2022-09-21 00:15:35 status unpacked python3-pip:all 8.1.1-2ubuntu0.6
2022-09-21 00:15:35 status half-installed python3-pip:all 8.1.1-2ubuntu0.6
2022-09-21 00:15:35 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:35 status half-installed python3-pip:all 8.1.1-2ubuntu0.6
2022-09-21 00:15:35 status unpacked python3-pip:all 8.1.1-2ubuntu0.6
2022-09-21 00:15:35 status unpacked python3-pip:all 8.1.1-2ubuntu0.6
2022-09-21 00:15:35 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:35 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:36 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:36 startup archives unpack
2022-09-21 00:15:36 upgrade gcc-5:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:36 status half-configured gcc-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:36 status unpacked gcc-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:36 status half-installed gcc-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:36 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:40 status half-installed gcc-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:40 status unpacked gcc-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:40 status unpacked gcc-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:40 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:40 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:41 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:41 startup archives unpack
2022-09-21 00:15:41 upgrade python3.5-dev:amd64 3.5.2-2ubuntu0~16.04.13 3.5.2-2ubuntu0~16.04.13
2022-09-21 00:15:41 status half-configured python3.5-dev:amd64 3.5.2-2ubuntu0~16.04.13
2022-09-21 00:15:41 status unpacked python3.5-dev:amd64 3.5.2-2ubuntu0~16.04.13
2022-09-21 00:15:41 status half-installed python3.5-dev:amd64 3.5.2-2ubuntu0~16.04.13
2022-09-21 00:15:41 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:41 status half-installed python3.5-dev:amd64 3.5.2-2ubuntu0~16.04.13
2022-09-21 00:15:41 status unpacked python3.5-dev:amd64 3.5.2-2ubuntu0~16.04.13
2022-09-21 00:15:41 status unpacked python3.5-dev:amd64 3.5.2-2ubuntu0~16.04.13
2022-09-21 00:15:41 trigproc man-db:amd64 2.7.5-1 <none>
2022-09-21 00:15:41 status half-configured man-db:amd64 2.7.5-1
2022-09-21 00:15:42 status installed man-db:amd64 2.7.5-1
2022-09-21 00:15:42 startup archives unpack
2022-09-21 00:15:42 upgrade libquadmath0:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status triggers-pending libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:42 status half-configured libquadmath0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status unpacked libquadmath0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status half-installed libquadmath0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status half-installed libquadmath0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status unpacked libquadmath0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status unpacked libquadmath0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 trigproc libc-bin:amd64 2.23-0ubuntu11.3 <none>
2022-09-21 00:15:42 status half-configured libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:42 status installed libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:42 startup archives unpack
2022-09-21 00:15:42 upgrade libfakeroot:amd64 1.20.2-1ubuntu1 1.20.2-1ubuntu1
2022-09-21 00:15:42 status half-configured libfakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:42 status unpacked libfakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:42 status half-installed libfakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:42 status half-installed libfakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:42 status unpacked libfakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:42 status unpacked libfakeroot:amd64 1.20.2-1ubuntu1
2022-09-21 00:15:42 startup archives unpack
2022-09-21 00:15:42 upgrade g++-5:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status half-configured g++-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status unpacked g++-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status half-installed g++-5:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:42 status triggers-pending man-db:amd64 2.7.5-1
2022-09-21 00:15:46 status half-installed g++-5:amd64 5.4.0-6ubuntu1~16.04.12
